Sujet Age Gender Blind Block Essai Structure Nombre_X Identifiable Colored_dots Couleur_cible Couleur_filler Nombre_caseN Couleurcible_caseN Nombre_caseS Couleurcible_caseS Nombre_caseE Couleurcible_caseE Nombre_caseO Couleurcible_caseO Distance Expected_value Condition Response Response_time
Ka 25 F N 1 51 exactly 7 NA 8 green yellow 3 1 6 0 5 1 3 0 1 ? Superior 0 2627
Ka 25 F N 1 52 no-less-than 6 NA 6 red green 2 1 3 0 4 1 5 0 0 TRUE Equal 100 6873
Ka 25 F N 1 53 more-than 6 NA 8 red black 4 1 1 0 2 1 2 1 2 TRUE Superior 100 3662
Ka 25 F N 1 54 exactly 6 NA 6 red black 4 0 4 1 2 0 2 1 0 TRUE Equal 100 3931
Ka 25 F N 1 55 less-than 8 NA 11 blue red 6 1 1 0 4 1 1 1 3 FALSE Superior 0 4227
Ka 25 F N 1 56 more-than 7 NA 9 green black 3 1 1 0 3 1 3 1 2 TRUE Superior 100 3444
Ka 25 F N 1 57 more-than 7 NA 5 red yellow 1 0 2 0 5 1 2 0 -2 FALSE Inferior 0 2389
Ka 25 F N 1 58 less-than 8 NA 7 blue black 3 1 4 1 6 0 4 0 -1 TRUE Inferior 100 4297
Ka 25 F N 1 59 more-than 7 NA 6 red black 2 0 4 1 1 1 1 1 -1 FALSE Inferior 0 3596
Ka 25 F N 1 60 exactly 7 NA 10 blue red 4 1 2 1 4 1 5 0 3 ? Superior 0 4299
Ka 25 F N 1 61 no-more-than 8 NA 8 red blue 2 1 3 1 4 0 3 1 0 TRUE Equal 100 5300
Ka 25 F N 1 62 more-than 8 NA 8 green red 5 0 3 1 3 1 2 1 0 FALSE Equal 0 4245
Ka 25 F N 1 63 no-more-than 7 NA 10 red blue 4 0 3 1 4 1 3 1 3 FALSE Superior 0 19144
Ka 25 F N 1 64 exactly 7 NA 6 blue green 5 0 2 1 2 1 2 1 -1 FALSE Inferior 0 2657
Ka 25 F N 1 65 no-more-than 6 NA 5 red black 4 0 5 0 4 0 5 1 -1 TRUE Inferior 100 3160
Ka 25 F N 1 66 exactly 6 NA 8 blue black 5 0 2 1 6 1 2 0 2 ? Superior 0 2056
Ka 25 F N 1 67 no-more-than 6 NA 9 red black 5 0 2 1 3 1 4 1 3 FALSE Superior 0 6154
Ka 25 F N 1 68 no-more-than 7 NA 4 red yellow 4 0 5 0 4 1 4 0 -3 TRUE Inferior 100 2991
Ka 25 F N 1 69 no-less-than 7 NA 6 green black 6 0 2 1 2 1 2 1 -1 FALSE Inferior 0 5951
Ka 25 F N 1 70 less-than 8 NA 6 blue yellow 2 1 2 1 2 0 2 1 -2 TRUE Inferior 100 3361
Ka 25 F N 1 71 more-than 8 NA 10 green black 2 0 4 1 4 1 2 1 2 TRUE Superior 100 5467
Ka 25 F N 1 72 more-than 8 NA 5 blue yellow 4 0 5 0 1 0 5 1 -3 FALSE Inferior 0 2359
Ka 25 F N 1 73 less-than 7 NA 6 red black 6 0 2 0 4 1 2 1 -1 TRUE Inferior 100 5420
Ka 25 F N 1 74 no-less-than 8 NA 11 green black 5 1 6 1 5 0 3 0 3 TRUE Superior 100 5384
Ka 25 F N 1 75 more-than 8 NA 6 green red 1 1 4 1 1 1 2 0 -2 FALSE Inferior 0 2994
Ka 25 F N 1 76 exactly 8 NA 7 red yellow 5 0 1 1 1 1 5 1 -1 FALSE Inferior 0 3206
Ka 25 F N 1 77 no-more-than 6 NA 8 red black 2 1 5 0 3 1 3 1 2 FALSE Superior 0 4434
Ka 25 F N 1 78 no-less-than 8 NA 10 red yellow 5 0 4 1 4 1 2 1 2 TRUE Superior 100 3561
Ka 25 F N 1 79 less-than 7 NA 7 blue red 6 0 1 1 1 1 5 1 0 FALSE Equal 0 4030
Ka 25 F N 1 80 no-more-than 8 NA 5 blue red 5 1 2 0 6 0 3 0 -3 TRUE Inferior 100 3228
