Sujet Age Gender Blind Block Essai Structure Numeral Group Colored_dots Couleur_cible Couleur_filler Nombre_caseN Couleurcible_caseN Nombre_caseS Couleurcible_caseS Nombre_caseE Couleurcible_caseE Nombre_caseO Couleurcible_caseO Distance Expected_value Condition Response Response_time
7 26 M N 1 1 no-less-than 4 NA 1 red black 2 0 1 0 6 0 4 1 -3 FALSE Inferior 100 14796
7 26 M N 1 2 exactly 4 NA 5 green black 3 1 1 1 1 0 1 1 1 ? Superior 0 4667
7 26 M N 1 3 exactly 6 NA 7 blue black 2 1 5 0 5 1 6 0 1 ? Superior 0 6356
7 26 M N 1 4 no-less-than 5 NA 3 blue red 2 0 6 0 1 1 5 0 -2 FALSE Inferior 0 6016
7 26 M N 1 5 exactly 5 NA 5 blue red 2 1 2 1 1 1 3 0 0 TRUE Equal 99.2167101828 5100
7 26 M N 1 6 more-than 5 NA 6 green black 2 0 2 1 2 1 2 1 1 TRUE Superior 99.7389033943 5395
7 26 M N 1 7 no-less-than 6 NA 6 green yellow 4 0 3 0 3 1 3 1 0 TRUE Equal 100 7377
7 26 M N 1 8 less-than 4 NA 4 red black 2 1 4 0 1 1 1 1 0 FALSE Equal 0 3462
7 26 M N 1 9 no-less-than 6 NA 9 blue yellow 2 0 4 0 5 1 4 1 3 TRUE Superior 82.5065274151 15392
7 26 M N 1 10 no-more-than 5 NA 7 blue green 1 1 2 1 5 0 4 1 2 FALSE Superior 0.783289817232 8564
7 26 M N 1 11 less-than 6 NA 7 green black 2 1 5 1 5 0 1 0 1 FALSE Superior 0.783289817232 9305
7 26 M N 1 12 no-less-than 5 NA 5 red yellow 1 0 1 1 1 1 3 1 0 TRUE Equal 100 9029
7 26 M N 1 13 less-than 4 NA 2 red black 4 0 2 1 1 0 6 0 -2 TRUE Inferior 100 5722
7 26 M N 1 14 more-than 5 NA 4 red green 1 0 2 0 3 0 2 1 -1 FALSE Inferior 99.7389033943 6454
7 26 M N 1 15 more-than 4 NA 1 blue black 2 0 1 0 4 0 3 1 -3 FALSE Inferior 0 8155
7 26 M N 1 16 exactly 6 NA 3 green blue 2 0 5 0 4 0 1 1 -3 FALSE Inferior 0.783289817232 8553
7 26 M N 1 17 more-than 5 NA 2 green blue 3 1 1 0 6 0 4 0 -3 FALSE Inferior 0 8276
7 26 M N 1 18 more-than 6 NA 5 blue green 2 0 4 0 4 1 6 0 -1 FALSE Inferior 0 4712
7 26 M N 1 19 more-than 4 NA 2 blue green 2 1 2 0 3 0 1 0 -2 FALSE Inferior 0 6669
7 26 M N 1 20 more-than 6 NA 3 red yellow 2 0 6 0 5 1 3 0 -3 FALSE Inferior 0.261096605744 9364
7 26 M N 1 21 no-more-than 6 NA 7 green blue 3 0 4 1 1 1 2 1 1 FALSE Superior 3.65535248042 9897
7 26 M N 1 22 exactly 4 A 5 red yellow 1 1 4 1 4 0 3 0 1 ? Superior 0 5714
7 26 M N 1 23 exactly 6 NA 6 blue green 5 1 4 0 1 1 1 0 0 TRUE Equal 100 30221
7 26 M N 1 24 no-more-than 5 NA 3 red blue 2 1 5 0 6 0 6 0 -2 TRUE Inferior 3.13315926893 20275
7 26 M N 1 25 no-more-than 6 NA 6 blue red 2 1 1 0 2 1 2 1 0 TRUE Equal 100 4810
7 26 M N 1 26 more-than 4 NA 6 green red 5 0 1 1 3 1 2 1 2 TRUE Superior 6.26631853786 6780
7 26 M N 1 27 exactly 4 NA 4 red blue 1 1 3 1 2 0 2 0 0 TRUE Equal 100 2625
7 26 M N 1 28 no-less-than 4 NA 5 blue red 3 1 2 1 5 0 2 0 1 TRUE Superior 86.684073107 5978
7 26 M N 1 29 no-less-than 6 NA 4 blue green 1 0 1 0 4 0 5 1 -2 FALSE Inferior 0.261096605744 9922
7 26 M N 1 30 no-less-than 4 NA 6 red blue 2 0 3 1 3 1 1 0 2 TRUE Superior 0.261096605744 5371
7 26 M N 1 31 no-more-than 5 NA 2 blue yellow 4 0 5 0 5 0 3 1 -3 TRUE Inferior 1.30548302872 35578
7 26 M N 1 32 more-than 6 NA 4 red black 5 0 5 0 6 1 5 0 -2 FALSE Inferior 1.30548302872 5718
7 26 M N 1 33 no-more-than 4 NA 1 blue red 3 0 2 1 3 0 1 0 -3 TRUE Inferior 0.261096605744 8916
7 26 M N 1 34 exactly 6 A 9 green black 3 1 2 0 6 1 2 0 3 ? Superior 0.261096605744 6266
7 26 M N 1 35 no-less-than 4 NA 4 blue green 2 1 4 0 2 1 2 0 0 TRUE Equal 0.522193211488 8233
7 26 M N 1 36 more-than 6 NA 6 blue green 3 1 3 1 3 0 2 0 0 FALSE Equal 0.522193211488 5858
7 26 M N 1 37 more-than 4 NA 3 blue black 5 0 3 1 2 0 2 0 -1 FALSE Inferior 0 4214
7 26 M N 1 38 no-less-than 6 NA 7 blue red 1 1 6 0 4 1 2 1 1 TRUE Superior 0 6219
7 26 M N 1 39 no-more-than 4 NA 6 blue green 2 1 2 1 2 1 2 0 2 FALSE Superior 0.783289817232 8011
7 26 M N 1 40 more-than 6 NA 7 blue green 4 1 4 0 2 1 1 1 1 TRUE Superior 100 4993
7 26 M N 1 41 more-than 5 NA 3 blue red 4 0 5 0 4 1 1 0 -2 FALSE Inferior 0 4284
7 26 M N 1 42 more-than 6 NA 8 green red 3 1 5 1 2 0 5 0 2 TRUE Superior 100 11330
7 26 M N 1 43 exactly 4 NA 1 green red 2 0 3 0 1 0 5 1 -3 FALSE Inferior 0 3397
7 26 M N 1 44 no-more-than 5 NA 6 blue green 3 1 4 0 3 1 5 0 1 FALSE Superior 0 8840
7 26 M N 1 45 exactly 6 NA 4 red blue 1 1 3 0 2 0 3 0 -2 FALSE Inferior 0 4374
7 26 M N 1 46 less-than 4 NA 6 red black 3 1 3 1 1 0 3 0 2 FALSE Superior 0.522193211488 7008
7 26 M N 1 47 more-than 4 NA 5 green blue 2 0 2 1 3 1 4 0 1 TRUE Superior 100 9885
7 26 M N 1 48 no-less-than 6 NA 8 green black 3 1 2 1 3 0 3 1 2 TRUE Superior 97.911227154 13876
7 26 M N 1 49 less-than 6 NA 6 red blue 4 1 2 1 4 0 5 0 0 FALSE Equal 0.261096605744 8344
7 26 M N 1 50 exactly 5 NA 6 red blue 3 1 3 0 3 0 3 1 1 ? Superior 0 4627
7 26 M N 1 51 more-than 4 NA 7 red green 3 1 5 0 1 1 3 1 3 TRUE Superior 100 7274
7 26 M N 1 52 no-more-than 4 NA 7 red blue 1 0 2 1 3 1 2 1 3 FALSE Superior 100 12434
7 26 M N 1 53 exactly 4 NA 3 blue green 6 1 1 0 5 0 6 0 -1 FALSE Inferior 0 2949
7 26 M N 1 54 less-than 5 NA 5 red green 2 0 3 1 2 1 3 0 0 FALSE Equal 0 5515
7 26 M N 1 55 exactly 4 NA 2 red green 5 1 2 0 2 0 2 0 -2 FALSE Inferior 0 4084
7 26 M N 1 56 exactly 4 NA 7 red black 1 1 4 0 3 1 3 1 3 ? Superior 0.522193211488 13184
7 26 M N 1 57 less-than 4 NA 7 green black 6 0 3 1 3 1 1 1 3 FALSE Superior 0 6315
7 26 M N 1 58 exactly 6 NA 6 red black 6 0 2 1 2 1 2 1 0 TRUE Equal 100 5812
7 26 M N 1 59 no-more-than 6 NA 3 red blue 5 0 2 0 2 1 2 0 -3 TRUE Inferior 4.17754569191 14198
7 26 M N 1 60 exactly 4 NA 4 green yellow 1 1 3 1 2 0 4 0 0 TRUE Equal 100 5983
7 26 M N 1 61 less-than 5 NA 7 green black 1 1 6 1 3 0 4 0 2 FALSE Superior 0 4363
7 26 M N 1 62 more-than 5 NA 8 green black 1 0 6 1 5 0 2 1 3 TRUE Superior 100 24659
7 26 M N 1 63 more-than 5 NA 5 blue yellow 1 1 5 0 3 0 4 1 0 FALSE Equal 0.261096605744 4999
7 26 M N 1 64 less-than 4 NA 5 blue red 3 1 2 1 2 0 2 0 1 FALSE Superior 0.522193211488 4216
7 26 M N 1 65 no-less-than 5 NA 6 green blue 2 1 4 1 2 0 3 0 1 TRUE Superior 92.1671018277 4642
7 26 M N 1 66 no-less-than 6 NA 3 red blue 2 0 1 1 2 0 3 0 -3 FALSE Inferior 0.522193211488 7011
7 26 M N 1 67 no-more-than 6 NA 4 blue red 1 0 3 0 4 0 3 1 -2 TRUE Inferior 90.861618799 13068
7 26 M N 1 68 less-than 5 NA 8 green blue 3 1 3 1 3 0 2 1 3 FALSE Superior 0 10177
7 26 M N 1 69 less-than 4 NA 1 red yellow 2 0 6 0 1 0 1 1 -3 TRUE Inferior 100 11206
7 26 M N 1 70 exactly 6 A 8 red black 6 0 2 1 6 0 6 1 2 ? Superior 0 8264
7 26 M N 1 71 exactly 5 NA 5 green black 1 1 2 1 2 1 3 0 0 TRUE Equal 100 7724
7 26 M N 1 72 exactly 4 NA 6 green red 3 1 2 0 5 0 3 1 2 ? Superior 0 8435
7 26 M N 1 73 less-than 5 NA 4 blue green 1 1 1 0 4 0 5 0 -1 TRUE Inferior 100 6398
7 26 M N 1 74 no-more-than 5 NA 8 red blue 5 0 2 1 4 0 6 1 3 FALSE Superior 0 7935
7 26 M N 1 75 exactly 4 A 4 red green 4 1 4 0 6 0 3 0 0 TRUE Equal 100 2310
7 26 M N 1 76 less-than 6 NA 8 blue black 3 1 3 1 2 0 2 1 2 FALSE Superior 0.783289817232 7073
7 26 M N 1 77 exactly 6 NA 8 blue green 4 1 4 1 5 0 3 0 2 ? Superior 1.82767624021 27713
7 26 M N 1 78 no-more-than 4 NA 4 red black 4 0 3 1 1 1 3 0 0 TRUE Equal 100 3644
7 26 M N 1 79 exactly 5 NA 3 blue red 4 0 1 0 4 0 6 1 -2 FALSE Inferior 0 2732
7 26 M N 1 80 exactly 5 A 8 red blue 5 1 3 0 3 1 6 0 3 ? Superior 0.783289817232 3253
7 26 M N 1 81 no-less-than 4 NA 2 green yellow 3 1 5 0 4 0 5 0 -2 FALSE Inferior 0 6248
7 26 M N 1 82 no-less-than 5 NA 7 blue green 5 0 6 1 1 0 1 1 2 TRUE Superior 0.261096605744 12414
7 26 M N 1 83 exactly 5 A 6 green red 4 0 5 0 5 1 1 1 1 ? Superior 0 4969
7 26 M N 1 84 no-less-than 5 NA 4 green blue 6 0 5 1 1 0 5 0 -1 FALSE Inferior 45.4308093995 9234
7 26 M N 1 85 exactly 5 A 7 green yellow 2 0 1 0 5 1 2 1 2 ? Superior 1.30548302872 4708
7 26 M N 1 86 no-more-than 4 NA 3 blue yellow 5 0 3 1 3 0 5 0 -1 TRUE Inferior 0 37620
7 26 M N 1 87 less-than 4 NA 3 red green 3 0 5 0 6 1 3 0 -1 TRUE Inferior 0 5466
7 26 M N 1 88 no-less-than 5 NA 8 blue black 2 1 4 0 3 1 3 1 3 TRUE Superior 0.522193211488 7994
7 26 M N 1 89 exactly 4 A 7 red yellow 1 0 4 1 3 1 5 0 3 ? Superior 0.261096605744 4555
7 26 M N 1 90 exactly 6 NA 9 red green 4 1 3 1 2 1 4 0 3 ? Superior 0.261096605744 4541
7 26 M N 1 91 no-less-than 4 NA 3 blue red 4 0 2 0 4 0 4 1 -1 FALSE Inferior 0 14604
7 26 M N 1 92 no-more-than 6 NA 8 green red 4 1 1 1 3 1 2 0 2 FALSE Superior 0 5633
