Sujet Age Gender Blind Block Essai Structure Numeral Group Colored_dots Couleur_cible Couleur_filler Nombre_caseN Couleurcible_caseN Nombre_caseS Couleurcible_caseS Nombre_caseE Couleurcible_caseE Nombre_caseO Couleurcible_caseO Distance Expected_value Condition Response Response_time
1 57 F Y 1 1 exactly 5 NA 5 red green 4 0 3 0 2 1 3 1 0 TRUE Equal 99.7389033943 8392
1 57 F Y 1 2 more-than 6 NA 9 green yellow 5 1 2 0 4 1 6 0 3 TRUE Superior 99.7389033943 9173
1 57 F Y 1 3 less-than 4 NA 3 green black 2 1 1 0 1 0 6 0 -1 TRUE Inferior 100 7247
1 57 F Y 1 4 exactly 5 A 5 green black 5 1 3 0 1 0 5 0 0 TRUE Equal 100 5796
1 57 F Y 1 5 exactly 4 NA 6 blue green 3 1 2 0 2 1 1 1 2 ? Superior 0 6880
1 57 F Y 1 6 no-less-than 4 NA 6 blue red 3 1 2 1 1 0 1 1 2 TRUE Superior 0 18073
1 57 F Y 1 7 no-more-than 5 NA 6 blue green 3 0 4 1 5 0 2 1 1 FALSE Superior 0 11942
1 57 F Y 1 8 exactly 5 NA 7 green blue 5 0 4 0 1 1 6 1 2 ? Superior 0 7932
1 57 F Y 1 9 no-less-than 6 NA 8 green red 4 0 3 1 3 1 2 1 2 TRUE Superior 0 44711
1 57 F Y 1 10 no-less-than 4 NA 5 red black 1 1 2 0 3 1 1 1 1 TRUE Superior 0 8310
1 57 F Y 1 11 no-more-than 5 NA 4 green black 2 0 4 0 6 0 2 1 -1 TRUE Inferior 100 9605
1 57 F Y 1 12 exactly 4 A 4 green red 6 0 6 0 1 0 4 1 0 TRUE Equal 100 3918
1 57 F Y 1 13 exactly 5 NA 6 red yellow 6 0 1 1 1 1 4 1 1 ? Superior 0 3904
1 57 F Y 1 14 exactly 4 A 6 blue yellow 5 0 1 0 2 1 4 1 2 ? Superior 4.17754569191 3445
1 57 F Y 1 15 more-than 5 NA 3 green red 1 0 4 1 2 0 4 0 -2 FALSE Inferior 0 5863
1 57 F Y 1 16 no-less-than 6 NA 4 green black 1 0 6 1 2 0 2 0 -2 FALSE Inferior 100 29282
1 57 F Y 1 17 no-less-than 5 NA 6 green red 3 0 2 1 1 1 3 1 1 TRUE Superior 0 13146
1 57 F Y 1 18 more-than 4 NA 6 red black 2 0 3 1 2 0 3 1 2 TRUE Superior 100 3576
1 57 F Y 1 19 exactly 5 NA 3 red yellow 3 1 4 0 4 0 4 0 -2 FALSE Inferior 0 3482
1 57 F Y 1 20 exactly 6 A 9 red black 3 1 5 0 4 0 6 1 3 ? Superior 0 4016
1 57 F Y 1 21 exactly 5 A 6 green black 1 1 5 1 1 0 1 0 1 ? Superior 0 3564
1 57 F Y 1 22 exactly 4 A 7 blue red 1 0 4 1 2 0 3 1 3 ? Superior 0 3805
1 57 F Y 1 23 no-less-than 5 NA 2 red blue 6 0 6 0 6 0 1 1 -3 FALSE Inferior 0 8724
1 57 F Y 1 24 no-less-than 5 NA 7 green yellow 2 1 4 0 4 1 1 1 2 TRUE Superior 0 5091
1 57 F Y 1 25 exactly 5 A 8 green yellow 5 1 2 0 3 1 1 0 3 ? Superior 0 3039
1 57 F Y 1 26 less-than 6 NA 7 green black 2 1 4 1 4 0 1 1 1 FALSE Superior 0 7958
