Sujet Age Gender Blind Block Essai Structure Numeral Group Colored_dots Couleur_cible Couleur_filler Nombre_caseN Couleurcible_caseN Nombre_caseS Couleurcible_caseS Nombre_caseE Couleurcible_caseE Nombre_caseO Couleurcible_caseO Distance Expected_value Condition Response Response_time
3 21 F Y 1 1 exactly 4 NA 7 blue red 2 0 3 1 2 1 2 1 3 ? Superior 0 7899
3 21 F Y 1 2 less-than 4 NA 5 blue red 1 1 1 1 3 1 2 0 1 FALSE Superior 0 7050
3 21 F Y 1 3 more-than 5 NA 4 green yellow 5 0 1 1 5 0 4 0 -1 FALSE Inferior 0 5101
3 21 F Y 1 4 exactly 4 A 5 blue green 4 1 5 0 1 1 3 0 1 ? Superior 0 3913
3 21 F Y 1 5 exactly 5 A 6 blue green 5 1 2 0 5 0 1 1 1 ? Superior 0 3294
3 21 F Y 1 6 no-less-than 4 NA 4 green red 1 1 6 0 2 1 1 1 0 TRUE Equal 65.7963446475 10321
3 21 F Y 1 7 less-than 6 NA 5 green blue 5 1 1 0 3 0 1 0 -1 TRUE Inferior 100 6745
3 21 F Y 1 8 no-less-than 6 NA 4 blue red 4 1 6 0 2 0 1 0 -2 FALSE Inferior 0 5619
3 21 F Y 1 9 more-than 4 NA 3 blue red 3 0 5 0 6 0 4 1 -1 FALSE Inferior 0 3078
3 21 F Y 1 10 no-more-than 4 NA 1 red black 2 1 3 0 2 0 1 0 -3 TRUE Inferior 71.5404699739 6721
3 21 F Y 1 11 no-less-than 5 NA 6 red green 3 0 3 1 1 0 3 1 1 TRUE Superior 63.4464751958 5738
3 21 F Y 1 12 exactly 6 NA 6 green red 4 1 5 0 1 1 1 1 0 TRUE Equal 100 3806
3 21 F Y 1 13 exactly 6 NA 7 blue yellow 4 0 1 1 2 1 4 1 1 ? Superior 0 4483
3 21 F Y 1 14 no-more-than 6 NA 3 green black 4 0 3 1 2 0 4 0 -3 TRUE Inferior 67.1018276762 6003
3 21 F Y 1 15 more-than 5 NA 6 blue black 2 1 2 1 1 0 2 1 1 TRUE Superior 100 5857
3 21 F Y 1 16 less-than 6 NA 8 blue red 2 1 4 1 1 0 2 1 2 FALSE Superior 0 4744
3 21 F Y 1 17 more-than 6 NA 6 green black 1 1 3 0 4 1 1 1 0 FALSE Equal 0 5691
3 21 F Y 1 18 no-more-than 4 NA 7 red yellow 2 0 3 1 3 1 1 1 3 FALSE Superior 0 4027
