Sujet Age Gender Blind Block Essai Structure Numeral Group Colored_dots Couleur_cible Couleur_filler Nombre_caseN Couleurcible_caseN Nombre_caseS Couleurcible_caseS Nombre_caseE Couleurcible_caseE Nombre_caseO Couleurcible_caseO Distance Expected_value Condition Response Response_time
8 48 M N 1 1 no-less-than 4 NA 3 green blue 4 0 5 1 3 0 2 0 -1 FALSE Inferior 0 8796
8 48 M N 1 2 no-less-than 6 NA 8 red blue 5 0 3 1 5 1 1 0 2 TRUE Superior 0 9577
8 48 M N 1 3 no-less-than 6 NA 3 green black 2 0 4 0 6 1 5 0 -3 FALSE Inferior 100 5550
8 48 M N 1 4 less-than 5 NA 6 green red 2 1 2 1 2 1 3 0 1 FALSE Superior 0 6784
8 48 M N 1 5 exactly 6 NA 7 green black 5 1 2 1 5 0 4 0 1 ? Superior 0 3172
8 48 M N 1 6 less-than 6 NA 4 blue red 3 0 2 0 2 1 4 0 -2 TRUE Inferior 100 11292
8 48 M N 1 7 no-more-than 6 NA 7 blue green 3 1 5 0 3 1 1 1 1 FALSE Superior 0 7337
8 48 M N 1 8 less-than 4 NA 3 green yellow 3 0 6 0 5 1 5 0 -1 TRUE Inferior 0 5755
8 48 M N 1 9 less-than 5 NA 5 red black 4 0 2 1 4 0 3 1 0 FALSE Equal 79.634464752 10645
8 48 M N 1 10 more-than 5 NA 5 green black 1 1 4 0 2 1 2 1 0 FALSE Equal 12.7937336815 5946
8 48 M N 1 11 less-than 4 NA 5 red black 1 1 2 0 1 1 3 1 1 FALSE Superior 30.5483028721 6146
8 48 M N 1 12 exactly 5 A 8 red green 5 0 5 1 3 1 4 0 3 ? Superior 18.5378590078 3588
8 48 M N 1 13 more-than 4 NA 6 red blue 2 1 3 0 3 1 1 1 2 TRUE Superior 18.2767624021 3399
8 48 M N 1 14 more-than 6 NA 7 blue black 6 0 3 0 2 1 5 1 1 TRUE Superior 79.3733681462 4506
8 48 M N 1 15 exactly 5 NA 3 red blue 5 1 1 0 4 0 5 0 -2 FALSE Inferior 100 3397
8 48 M N 1 16 no-more-than 4 NA 7 green black 3 1 3 0 1 1 3 1 3 FALSE Superior 69.7127937337 4916
8 48 M N 1 17 no-more-than 4 NA 6 blue yellow 5 0 2 1 2 1 2 1 2 FALSE Superior 25.5874673629 3681
8 48 M N 1 18 exactly 4 A 5 blue red 3 0 1 1 4 0 4 1 1 ? Superior 24.2819843342 5185
8 48 M N 1 19 more-than 6 NA 5 green black 2 0 5 1 4 0 5 0 -1 FALSE Inferior 16.9712793734 3833
8 48 M N 1 20 less-than 6 NA 9 blue yellow 4 1 5 1 1 0 3 0 3 FALSE Superior 23.2375979112 4069
8 48 M N 1 21 no-less-than 5 NA 8 red green 2 1 3 0 3 1 3 1 3 TRUE Superior 20.1044386423 5296
8 48 M N 1 22 exactly 6 NA 4 blue red 3 0 6 0 2 0 1 1 -2 FALSE Inferior 25.5874673629 3379
8 48 M N 1 23 less-than 4 NA 6 green blue 2 1 2 1 6 0 2 1 2 FALSE Superior 38.1201044386 8668
8 48 M N 1 24 less-than 5 NA 8 green black 4 1 6 0 4 1 3 0 3 FALSE Superior 26.6318537859 4026
8 48 M N 1 25 no-less-than 6 NA 6 green red 2 1 3 0 4 1 5 0 0 TRUE Equal 81.2010443864 5681
8 48 M N 1 26 less-than 4 NA 1 green blue 6 0 1 0 3 1 6 0 -3 TRUE Inferior 16.7101827676 6035
8 48 M N 1 27 no-more-than 5 NA 6 blue red 3 1 2 1 1 1 4 0 1 FALSE Superior 15.4046997389 6923
8 48 M N 1 28 no-more-than 4 NA 2 blue yellow 5 0 6 1 5 0 2 0 -2 TRUE Inferior 20.8877284595 7068
8 48 M N 1 29 exactly 6 NA 3 blue black 5 0 2 1 2 0 2 0 -3 FALSE Inferior 0 3091
8 48 M N 1 30 no-more-than 5 NA 3 green red 3 0 3 0 6 1 3 0 -2 TRUE Inferior 0 6596
8 48 M N 1 31 exactly 4 NA 7 blue red 2 1 3 1 2 1 1 0 3 ? Superior 20.8877284595 3906
8 48 M N 1 32 exactly 6 NA 6 blue black 4 1 4 0 1 1 1 1 0 TRUE Equal 88.5117493473 4076
8 48 M N 1 33 no-less-than 5 NA 4 blue yellow 5 0 6 0 3 1 3 0 -1 FALSE Inferior 22.7154046997 7394
8 48 M N 1 34 no-less-than 6 NA 9 red green 2 1 1 0 3 1 4 1 3 TRUE Superior 25.3263707572 3489
8 48 M N 1 35 exactly 5 NA 7 green red 2 1 6 0 1 1 4 1 2 ? Superior 26.1096605744 2987
8 48 M N 1 36 exactly 6 A 8 green blue 2 1 3 0 5 0 6 1 2 ? Superior 24.2819843342 2389
8 48 M N 1 37 no-less-than 5 NA 3 blue yellow 4 0 2 0 5 1 2 0 -2 FALSE Inferior 85.9007832898 3460
8 48 M N 1 38 exactly 4 NA 6 blue green 1 0 6 0 3 1 3 1 2 ? Superior 10.4438642298 3794
8 48 M N 1 39 more-than 5 NA 6 red black 3 1 2 0 3 1 4 0 1 TRUE Superior 73.1070496084 3065
8 48 M N 1 40 less-than 5 NA 3 green blue 6 0 4 0 1 0 1 1 -2 TRUE Inferior 13.315926893 4514
8 48 M N 1 41 more-than 4 NA 1 red yellow 2 1 3 0 5 0 5 0 -3 FALSE Inferior 18.5378590078 3831
8 48 M N 1 42 exactly 4 NA 5 green blue 1 0 1 1 1 1 3 1 1 ? Superior 30.5483028721 2536
8 48 M N 1 43 more-than 6 NA 6 green blue 6 0 3 1 6 0 3 1 0 FALSE Equal 17.7545691906 5317
8 48 M N 1 44 less-than 6 NA 8 blue red 3 1 4 0 6 0 5 1 2 FALSE Superior 30.0261096606 3268
8 48 M N 1 45 exactly 5 NA 5 green red 4 1 5 0 1 1 6 0 0 TRUE Equal 85.9007832898 3081
8 48 M N 1 46 exactly 4 NA 2 red green 1 1 6 0 3 0 5 0 -2 FALSE Inferior 17.4934725849 2554
8 48 M N 1 47 no-more-than 6 NA 4 blue yellow 1 0 5 0 1 1 4 0 -2 TRUE Inferior 16.9712793734 4851
8 48 M N 1 48 more-than 5 NA 3 blue black 3 0 6 0 5 1 5 0 -2 FALSE Inferior 27.1540469974 4003
8 48 M N 1 49 exactly 6 NA 9 red green 2 1 2 0 3 1 4 1 3 ? Superior 30.2872062663 3706
8 48 M N 1 50 no-less-than 5 NA 5 green blue 2 0 4 1 1 1 5 0 0 TRUE Equal 9.66057441253 3029
8 48 M N 1 51 less-than 6 NA 5 blue green 6 0 3 1 5 0 2 0 -1 TRUE Inferior 14.8825065274 3458
8 48 M N 1 52 exactly 4 A 4 blue green 4 1 5 0 5 0 1 0 0 TRUE Equal 96.3446475196 2699
8 48 M N 1 53 no-less-than 4 NA 4 green black 5 0 2 1 5 0 2 1 0 TRUE Equal 85.1174934726 5864
8 48 M N 1 54 no-more-than 5 NA 4 green black 4 0 1 1 3 0 4 0 -1 TRUE Inferior 12.0104438642 4549
8 48 M N 1 55 exactly 5 NA 8 green red 1 0 2 1 2 0 6 1 3 ? Superior 31.3315926893 3019
8 48 M N 1 56 no-more-than 5 NA 7 green blue 1 1 3 0 2 1 4 1 2 FALSE Superior 9.92167101828 5082
8 48 M N 1 57 exactly 5 A 6 blue yellow 6 0 1 0 5 1 1 1 1 ? Superior 25.3263707572 2899
8 48 M N 1 58 exactly 6 NA 5 red blue 5 0 5 0 4 0 6 1 -1 FALSE Inferior 23.498694517 3546
