Sujet Age Gender Blind Block Essai Structure Numeral Group Colored_dots Couleur_cible Couleur_filler Nombre_caseN Couleurcible_caseN Nombre_caseS Couleurcible_caseS Nombre_caseE Couleurcible_caseE Nombre_caseO Couleurcible_caseO Distance Expected_value Condition Response Response_time
15 45 F N 1 1 exactly 6 NA 5 red green 5 0 6 1 6 0 5 0 -1 FALSE Inferior 1.82767624021 4121
15 45 F N 1 2 exactly 6 NA 6 red blue 1 1 2 0 4 1 1 1 0 TRUE Equal 97.1279373368 4396
15 45 F N 1 3 exactly 4 NA 4 blue yellow 6 0 2 1 2 1 4 0 0 TRUE Equal 99.2167101828 3821
15 45 F N 1 4 no-more-than 4 NA 5 blue green 1 1 6 0 2 1 2 1 1 FALSE Superior 98.1723237598 3955
15 45 F N 1 5 no-more-than 4 NA 3 blue red 4 0 6 0 1 1 2 0 -1 TRUE Inferior 1.82767624021 5226
15 45 F N 1 6 no-more-than 5 NA 6 blue yellow 2 1 3 1 1 1 4 0 1 FALSE Superior 98.955613577 5227
15 45 F N 1 7 no-less-than 5 NA 8 blue yellow 4 0 3 1 2 1 3 1 3 TRUE Superior 100 8633
15 45 F N 1 8 no-more-than 4 NA 6 red blue 3 0 2 1 1 1 3 1 2 FALSE Superior 96.3446475196 6470
15 45 F N 1 9 more-than 6 NA 8 red yellow 1 1 4 1 3 1 6 0 2 TRUE Superior 98.955613577 7737
15 45 F N 1 10 exactly 5 NA 4 green black 5 0 6 0 6 0 2 1 -1 FALSE Inferior 0.783289817232 3556
15 45 F N 1 11 no-more-than 6 NA 4 green yellow 3 0 4 1 6 0 4 0 -2 TRUE Inferior 98.4334203655 4748
15 45 F N 1 12 no-more-than 5 NA 3 blue black 6 0 5 0 2 0 2 1 -2 TRUE Inferior 0.783289817232 2908
15 45 F N 1 13 more-than 6 NA 4 red blue 5 0 4 0 5 1 1 0 -2 FALSE Inferior 2.3498694517 3488
15 45 F N 1 14 no-less-than 4 NA 5 blue green 2 1 1 1 2 1 1 0 1 TRUE Superior 99.4778067885 5562
15 45 F N 1 15 less-than 6 NA 8 green blue 2 1 4 1 2 1 2 0 2 FALSE Superior 100 6813
15 45 F N 1 16 more-than 5 NA 2 green red 4 0 3 0 4 0 6 1 -3 FALSE Inferior 0.783289817232 3737
15 45 F N 1 17 more-than 5 NA 5 red yellow 2 1 3 1 5 0 5 0 0 FALSE Equal 98.4334203655 3868
15 45 F N 1 18 no-more-than 5 NA 5 blue yellow 4 1 4 0 1 1 5 0 0 TRUE Equal 98.955613577 4948
15 45 F N 1 19 more-than 6 NA 5 blue yellow 3 1 5 0 2 0 2 0 -1 FALSE Inferior 1.82767624021 3444
15 45 F N 1 20 exactly 5 NA 6 red green 2 1 2 0 2 1 2 1 1 ? Superior 0.783289817232 4745
15 45 F N 1 21 exactly 6 NA 7 green yellow 1 1 3 1 3 1 6 0 1 ? Superior 2.87206266319 5749
15 45 F N 1 22 more-than 4 NA 1 blue red 3 1 4 0 3 0 2 0 -3 FALSE Inferior 0.783289817232 3409
15 45 F N 1 23 no-more-than 6 NA 7 blue black 5 0 3 1 2 0 4 1 1 FALSE Superior 100 5467
15 45 F N 1 24 no-more-than 6 NA 3 green red 5 0 6 0 2 1 4 0 -3 TRUE Inferior 1.56657963446 2674
15 45 F N 1 25 exactly 5 NA 8 red yellow 1 1 3 1 4 1 1 0 3 ? Superior 2.08877284595 8373
15 45 F N 1 26 more-than 5 NA 7 blue green 1 0 4 1 3 1 3 0 2 TRUE Superior 1.30548302872 4143
15 45 F N 1 27 no-more-than 6 NA 8 blue green 4 1 4 0 4 1 3 0 2 FALSE Superior 97.6501305483 5430
15 45 F N 1 28 exactly 4 NA 4 red yellow 2 1 2 1 4 0 1 0 0 TRUE Equal 97.6501305483 2546
15 45 F N 1 29 more-than 6 NA 9 red black 3 1 4 1 2 1 1 0 3 TRUE Superior 100 7577
15 45 F N 1 30 less-than 4 NA 6 green yellow 2 1 2 1 1 0 2 1 2 FALSE Superior 1.04438642298 3750
15 45 F N 1 31 less-than 6 NA 6 red black 1 1 1 1 4 1 6 0 0 FALSE Equal 0 4914
15 45 F N 1 32 exactly 4 NA 6 green red 1 1 6 0 2 1 3 1 2 ? Superior 0 6619
15 45 F N 1 33 less-than 4 NA 5 green yellow 2 1 1 1 1 0 2 1 1 FALSE Superior 0 4969
15 45 F N 1 34 more-than 5 NA 8 green yellow 1 0 6 1 2 1 5 0 3 TRUE Superior 100 5958
15 45 F N 1 35 exactly 5 A 5 red green 6 0 5 0 2 0 5 1 0 TRUE Equal 1.56657963446 3633
15 45 F N 1 36 no-less-than 6 NA 8 green yellow 4 1 3 1 5 0 1 1 2 TRUE Superior 1.56657963446 3563
15 45 F N 1 37 no-less-than 4 NA 4 red blue 1 1 5 0 2 1 1 1 0 TRUE Equal 98.1723237598 3578
15 45 F N 1 38 exactly 4 NA 1 blue red 6 0 4 1 5 0 2 0 -3 FALSE Inferior 97.6501305483 8421
15 45 F N 1 39 more-than 6 NA 3 blue yellow 3 0 3 0 1 1 2 0 -3 FALSE Inferior 2.08877284595 4467
15 45 F N 1 40 exactly 6 A 8 red yellow 6 1 2 1 5 0 2 0 2 ? Superior 97.6501305483 3561
15 45 F N 1 41 no-more-than 6 NA 5 red green 2 0 4 0 6 0 1 1 -1 TRUE Inferior 2.08877284595 3091
15 45 F N 1 42 no-more-than 5 NA 2 green black 3 0 4 1 5 0 3 0 -3 TRUE Inferior 3.39425587467 3699
15 45 F N 1 43 less-than 5 NA 3 green blue 4 0 1 0 6 0 5 1 -2 TRUE Inferior 1.82767624021 5573
15 45 F N 1 44 no-less-than 5 NA 5 red green 1 1 1 1 3 1 3 0 0 TRUE Equal 99.2167101828 4456
15 45 F N 1 45 no-more-than 5 NA 7 green black 5 0 2 0 6 1 1 1 2 FALSE Superior 100 4802
15 45 F N 1 46 exactly 4 A 6 red black 4 1 2 1 1 0 2 0 2 ? Superior 1.30548302872 5710
15 45 F N 1 47 no-more-than 4 NA 7 red blue 3 1 1 1 1 0 3 1 3 FALSE Superior 3.13315926893 4272
15 45 F N 1 48 no-less-than 5 NA 2 green blue 4 0 2 0 3 0 4 1 -3 FALSE Inferior 0.522193211488 4820
15 45 F N 1 49 less-than 6 NA 5 green yellow 5 0 4 0 2 1 1 0 -1 TRUE Inferior 100 5481
15 45 F N 1 50 exactly 4 NA 2 green black 5 0 6 0 6 1 1 0 -2 FALSE Inferior 0.261096605744 2884
15 45 F N 1 51 more-than 6 NA 7 red yellow 1 1 5 0 3 1 3 1 1 TRUE Superior 97.911227154 5931
15 45 F N 1 52 less-than 4 NA 7 red yellow 3 0 2 1 2 1 3 1 3 FALSE Superior 2.3498694517 6755
15 45 F N 1 53 exactly 4 A 7 blue green 4 1 3 1 5 0 4 0 3 ? Superior 1.30548302872 2868
15 45 F N 1 54 exactly 5 A 6 green blue 1 1 6 0 2 0 5 1 1 ? Superior 3.13315926893 3107
15 45 F N 1 55 exactly 4 A 5 blue yellow 1 1 2 0 4 1 6 0 1 ? Superior 3.91644908616 3263
15 45 F N 1 56 no-less-than 5 NA 6 red green 2 1 3 0 1 1 3 1 1 TRUE Superior 0 7125
15 45 F N 1 57 no-less-than 6 NA 5 green red 3 1 6 0 4 0 6 0 -1 FALSE Inferior 0 3540
15 45 F N 1 58 more-than 5 NA 6 blue green 2 1 2 1 2 0 2 1 1 TRUE Superior 98.4334203655 3732
15 45 F N 1 59 exactly 4 NA 3 green black 2 1 5 0 3 0 2 0 -1 FALSE Inferior 1.56657963446 2497
15 45 F N 1 60 no-more-than 4 NA 2 red green 2 1 5 0 6 0 5 0 -2 TRUE Inferior 2.3498694517 2260
15 45 F N 1 61 no-less-than 6 NA 3 red black 5 0 6 0 4 1 2 0 -3 FALSE Inferior 1.30548302872 5860
15 45 F N 1 62 exactly 4 NA 5 blue black 2 1 1 1 2 0 2 1 1 ? Superior 99.4778067885 5491
15 45 F N 1 63 less-than 4 NA 1 red black 6 0 4 0 5 0 2 1 -3 TRUE Inferior 99.7389033943 3169
15 45 F N 1 64 no-less-than 5 NA 4 blue yellow 1 0 4 1 1 0 1 0 -1 FALSE Inferior 0.783289817232 4819
15 45 F N 1 65 exactly 5 NA 5 red black 2 1 1 1 3 0 2 1 0 TRUE Equal 100 2789
15 45 F N 1 66 exactly 6 NA 8 green black 4 0 1 1 4 1 3 1 2 ? Superior 3.91644908616 6818
15 45 F N 1 67 less-than 4 NA 2 blue green 1 0 6 0 2 0 6 1 -2 TRUE Inferior 1.56657963446 4282
15 45 F N 1 68 no-more-than 4 NA 4 red yellow 5 0 1 1 3 0 3 1 0 TRUE Equal 0 3332
15 45 F N 1 69 no-less-than 4 NA 1 red blue 5 1 6 0 3 0 6 0 -3 FALSE Inferior 0.522193211488 6851
15 45 F N 1 70 more-than 4 NA 5 green yellow 5 0 2 1 3 1 2 0 1 TRUE Superior 98.4334203655 3954
15 45 F N 1 71 no-less-than 4 NA 3 red black 1 0 6 0 6 1 5 0 -1 FALSE Inferior 97.3890339426 4187
15 45 F N 1 72 exactly 6 A 7 red black 5 0 1 1 6 1 3 0 1 ? Superior 0.522193211488 2851
15 45 F N 1 73 more-than 4 NA 4 blue red 1 1 2 1 1 1 2 0 0 FALSE Equal 2.3498694517 3158
15 45 F N 1 74 exactly 5 NA 2 green yellow 2 0 2 1 4 0 3 0 -3 FALSE Inferior 0 2337
15 45 F N 1 75 exactly 4 A 4 red blue 3 0 2 0 2 0 4 1 0 TRUE Equal 100 3426
15 45 F N 1 76 less-than 5 NA 4 green red 4 0 1 0 3 1 6 0 -1 TRUE Inferior 99.7389033943 3643
15 45 F N 1 77 less-than 6 NA 7 blue yellow 2 1 5 1 5 0 1 0 1 FALSE Superior 0 7252
15 45 F N 1 78 exactly 5 NA 7 blue black 1 1 3 0 4 1 2 1 2 ? Superior 0 3442
15 45 F N 1 79 more-than 4 NA 6 green red 2 1 4 0 2 1 2 1 2 TRUE Superior 98.4334203655 3492
15 45 F N 1 80 no-less-than 6 NA 7 green red 3 1 4 1 2 0 3 0 1 TRUE Superior 97.6501305483 7452
15 45 F N 1 81 less-than 5 NA 5 red yellow 5 0 1 1 3 1 1 1 0 FALSE Equal 0 4217
15 45 F N 1 82 exactly 5 A 7 green red 4 0 3 0 2 1 5 1 2 ? Superior 0.783289817232 4091
15 45 F N 1 83 less-than 5 NA 7 green black 1 1 2 1 4 1 3 0 2 FALSE Superior 1.82767624021 8156
15 45 F N 1 84 more-than 4 NA 2 blue black 3 0 2 0 2 0 2 1 -2 FALSE Inferior 0 3665
15 45 F N 1 85 no-less-than 5 NA 7 green blue 6 0 6 1 1 1 4 0 2 TRUE Superior 0.783289817232 5174
15 45 F N 1 86 less-than 5 NA 6 blue black 3 0 3 0 3 1 3 1 1 FALSE Superior 98.4334203655 2993
15 45 F N 1 87 no-less-than 6 NA 4 blue black 3 1 3 0 4 0 1 0 -2 FALSE Inferior 1.30548302872 5603
15 45 F N 1 88 exactly 6 NA 4 green black 2 0 3 1 3 0 1 0 -2 FALSE Inferior 1.56657963446 2738
15 45 F N 1 89 more-than 5 NA 3 green blue 1 0 1 0 3 0 3 1 -2 FALSE Inferior 1.04438642298 4148
15 45 F N 1 90 no-more-than 6 NA 6 blue green 2 1 2 0 2 1 2 1 0 TRUE Equal 99.2167101828 4058
15 45 F N 1 91 no-more-than 6 NA 9 green red 1 0 3 1 2 1 4 1 3 FALSE Superior 0.783289817232 8173
15 45 F N 1 92 exactly 5 A 8 blue red 3 1 5 0 5 1 3 0 3 ? Superior 6.26631853786 2873
15 45 F N 1 93 exactly 4 NA 7 green red 1 0 3 1 1 1 3 1 3 ? Superior 3.65535248042 4197
15 45 F N 1 94 more-than 5 NA 4 red yellow 3 1 6 0 2 0 1 0 -1 FALSE Inferior 2.61096605744 2893
15 45 F N 1 95 less-than 6 NA 4 red blue 4 0 1 0 6 0 5 1 -2 TRUE Inferior 0.783289817232 5899
15 45 F N 1 96 exactly 6 NA 9 red green 2 1 2 1 5 1 2 0 3 ? Superior 1.04438642298 4442
15 45 F N 1 97 exactly 5 NA 5 blue green 3 1 6 0 6 0 2 1 0 TRUE Equal 98.6945169713 3541
15 45 F N 1 98 exactly 6 NA 3 blue black 6 0 3 0 5 1 5 0 -3 FALSE Inferior 0.783289817232 2706
15 45 F N 1 99 no-more-than 4 NA 1 blue green 5 0 2 0 6 1 2 0 -3 TRUE Inferior 0.783289817232 2633
15 45 F N 1 100 exactly 6 A 6 blue yellow 5 0 6 1 3 0 5 0 0 TRUE Equal 99.4778067885 2842
15 45 F N 1 101 no-more-than 5 NA 8 blue yellow 3 1 3 1 2 1 3 0 3 FALSE Superior 1.56657963446 5524
15 45 F N 1 102 less-than 5 NA 8 green blue 5 0 1 0 4 1 4 1 3 FALSE Superior 2.87206266319 2755
15 45 F N 1 103 more-than 4 NA 7 blue red 3 1 2 0 3 1 1 1 3 TRUE Superior 100 4803
