Sujet Age Gender Blind Block Essai Structure Numeral Group Colored_dots Couleur_cible Couleur_filler Nombre_caseN Couleurcible_caseN Nombre_caseS Couleurcible_caseS Nombre_caseE Couleurcible_caseE Nombre_caseO Couleurcible_caseO Distance Expected_value Condition Response Response_time
11 48 M N 1 1 exactly 4 NA 4 green blue 1 1 5 0 5 0 3 1 0 TRUE Equal 98.4334203655 9860
11 48 M N 1 2 less-than 5 NA 7 green yellow 1 1 6 1 2 0 4 0 2 FALSE Superior 0 5485
11 48 M N 1 3 less-than 4 NA 6 red blue 6 0 2 1 2 1 2 1 2 FALSE Superior 0.522193211488 8538
11 48 M N 1 4 no-less-than 4 NA 2 green blue 2 1 2 0 2 0 4 0 -2 FALSE Inferior 0.783289817232 10078
11 48 M N 1 5 exactly 6 NA 4 blue red 1 0 1 0 1 0 6 1 -2 FALSE Inferior 98.6945169713 3941
11 48 M N 1 6 no-more-than 6 NA 6 blue red 4 1 2 0 3 0 2 1 0 TRUE Equal 98.955613577 6079
11 48 M N 1 7 more-than 5 NA 7 red yellow 2 1 1 1 6 0 4 1 2 TRUE Superior 98.6945169713 7639
11 48 M N 1 8 no-more-than 5 NA 2 blue green 3 1 2 0 1 0 1 0 -3 TRUE Inferior 99.4778067885 8970
11 48 M N 1 9 no-more-than 6 NA 7 blue red 2 1 1 1 4 1 2 0 1 FALSE Superior 98.6945169713 5420
11 48 M N 1 10 more-than 4 NA 6 blue yellow 3 1 5 0 1 0 3 1 2 TRUE Superior 100 5432
11 48 M N 1 11 less-than 5 NA 5 green yellow 1 1 2 1 5 0 2 1 0 FALSE Equal 1.04438642298 7000
11 48 M N 1 12 less-than 4 NA 5 red yellow 2 1 1 1 6 0 2 1 1 FALSE Superior 97.6501305483 5697
11 48 M N 1 13 exactly 6 NA 5 green red 6 0 2 0 4 0 6 1 -1 FALSE Inferior 96.8668407311 3635
11 48 M N 1 14 more-than 6 NA 6 blue black 3 0 4 1 1 1 1 1 0 FALSE Equal 3.13315926893 6350
11 48 M N 1 15 more-than 5 NA 2 blue green 6 0 3 0 5 1 2 0 -3 FALSE Inferior 1.56657963446 6663
11 48 M N 1 16 exactly 4 NA 1 green black 4 0 3 0 5 0 4 1 -3 FALSE Inferior 100 4363
11 48 M N 1 17 more-than 4 NA 2 red green 2 0 5 1 1 0 3 0 -2 FALSE Inferior 100 9853
11 48 M N 1 18 no-less-than 4 NA 6 blue yellow 2 1 2 1 2 1 1 0 2 TRUE Superior 95.0391644909 8821
11 48 M N 1 19 exactly 6 A 8 blue black 1 0 6 1 2 1 4 0 2 ? Superior 1.82767624021 2326
11 48 M N 1 20 no-more-than 6 NA 5 green blue 3 1 6 0 4 0 6 0 -1 TRUE Inferior 98.6945169713 4428
11 48 M N 1 21 no-more-than 5 NA 8 green yellow 2 1 3 1 3 1 5 0 3 FALSE Superior 0 5041
11 48 M N 1 22 exactly 4 A 5 green yellow 5 0 4 1 5 0 1 1 1 ? Superior 0 5056
11 48 M N 1 23 no-less-than 5 NA 8 blue yellow 6 0 2 1 2 0 6 1 3 TRUE Superior 0 5857
11 48 M N 1 24 no-more-than 5 NA 5 red green 2 1 1 1 1 0 2 1 0 TRUE Equal 99.2167101828 6484
11 48 M N 1 25 more-than 5 NA 3 green red 3 0 4 0 2 0 4 1 -2 FALSE Inferior 0 4738
11 48 M N 1 26 exactly 5 NA 8 red yellow 1 0 3 1 2 1 3 1 3 ? Superior 4.69973890339 4202
11 48 M N 1 27 exactly 6 NA 6 red green 1 1 1 0 1 1 4 1 0 TRUE Equal 100 6410
11 48 M N 1 28 more-than 5 NA 5 blue yellow 4 0 4 1 1 0 1 1 0 FALSE Equal 0 6753
11 48 M N 1 29 less-than 6 NA 4 green red 2 0 3 0 3 0 3 1 -2 TRUE Inferior 94.2558746736 5979
11 48 M N 1 30 exactly 5 A 6 red green 1 1 2 0 5 1 6 0 1 ? Superior 0.783289817232 3980
11 48 M N 1 31 more-than 4 NA 7 green blue 4 0 2 1 3 1 2 1 3 TRUE Superior 100 5372
11 48 M N 1 32 less-than 4 NA 3 red green 6 0 5 0 2 0 2 1 -1 TRUE Inferior 99.2167101828 4116
11 48 M N 1 33 more-than 4 NA 1 green black 1 0 5 0 6 1 2 0 -3 FALSE Inferior 98.955613577 5797
11 48 M N 1 34 no-less-than 4 NA 5 red blue 3 1 6 0 1 1 1 1 1 TRUE Superior 100 6044
11 48 M N 1 35 exactly 5 A 7 red yellow 6 0 2 1 2 0 5 1 2 ? Superior 0.261096605744 4221
11 48 M N 1 36 exactly 4 NA 6 green red 2 1 4 0 2 1 2 1 2 ? Superior 97.1279373368 4239
11 48 M N 1 37 no-more-than 6 NA 3 blue red 6 0 4 1 3 0 2 0 -3 TRUE Inferior 97.911227154 15078
11 48 M N 1 38 no-less-than 4 NA 7 blue black 6 0 3 1 3 1 1 1 3 TRUE Superior 94.2558746736 8124
11 48 M N 1 39 exactly 5 NA 4 red black 3 0 1 0 5 0 3 1 -1 FALSE Inferior 0 3300
11 48 M N 1 40 no-more-than 4 NA 4 red green 1 1 1 1 6 0 2 1 0 TRUE Equal 99.7389033943 5170
11 48 M N 1 41 exactly 5 A 5 red blue 1 0 4 0 5 1 4 0 0 TRUE Equal 100 4911
11 48 M N 1 42 less-than 4 NA 2 red green 1 0 1 0 3 1 4 0 -2 TRUE Inferior 100 4725
11 48 M N 1 43 exactly 6 NA 8 green black 5 1 3 1 6 0 2 0 2 ? Superior 0 4301
11 48 M N 1 44 exactly 6 A 9 green red 6 0 3 1 1 0 6 1 3 ? Superior 0.522193211488 5422
11 48 M N 1 45 exactly 4 A 7 green yellow 4 0 3 1 4 1 3 0 3 ? Superior 10.4438642298 10703
11 48 M N 1 46 less-than 6 NA 6 blue yellow 2 0 1 1 1 1 4 1 0 FALSE Equal 0 15429
11 48 M N 1 47 more-than 6 NA 8 blue black 1 0 4 1 6 0 4 1 2 TRUE Superior 98.1723237598 7226
11 48 M N 1 48 no-less-than 6 NA 8 blue yellow 4 1 1 0 4 1 4 0 2 TRUE Superior 99.2167101828 5528
