Sujet Age Gender Blind Block Essai Structure Numeral Group Colored_dots Couleur_cible Couleur_filler Nombre_caseN Couleurcible_caseN Nombre_caseS Couleurcible_caseS Nombre_caseE Couleurcible_caseE Nombre_caseO Couleurcible_caseO Distance Expected_value Condition Response Response_time
6 55 F N 1 1 exactly 4 NA 2 blue black 1 0 3 0 2 0 2 1 -2 FALSE Inferior 0 12363
6 55 F N 1 2 no-more-than 6 NA 6 red green 2 0 6 0 1 1 5 1 0 TRUE Equal 0 14794
6 55 F N 1 3 exactly 4 A 6 red green 6 0 2 1 4 0 4 1 2 ? Superior 0 13436
6 55 F N 1 4 no-more-than 4 NA 2 blue green 5 0 2 0 4 1 3 0 -2 TRUE Inferior 100 6067
6 55 F N 1 5 exactly 6 A 7 green black 1 1 4 0 4 0 6 1 1 ? Superior 0.261096605744 6337
6 55 F N 1 6 more-than 6 NA 3 green black 2 0 6 0 1 0 3 1 -3 FALSE Inferior 0 4765
6 55 F N 1 7 more-than 4 NA 2 green black 2 1 2 0 3 0 3 0 -2 FALSE Inferior 0 4883
6 55 F N 1 8 no-less-than 5 NA 3 green blue 1 1 6 0 2 0 5 0 -2 FALSE Inferior 0 12073
6 55 F N 1 9 exactly 5 A 6 red yellow 5 1 2 0 4 0 1 1 1 ? Superior 0.261096605744 4757
6 55 F N 1 10 less-than 6 NA 7 red black 2 1 1 1 3 0 4 1 1 FALSE Superior 0 8323
6 55 F N 1 11 no-less-than 4 NA 1 red black 6 1 5 0 5 0 6 0 -3 FALSE Inferior 0 2865
6 55 F N 1 12 no-more-than 5 NA 2 blue yellow 5 1 6 0 1 0 2 0 -3 TRUE Inferior 99.2167101828 3458
6 55 F N 1 13 no-more-than 4 NA 7 green blue 3 1 2 1 2 1 5 0 3 FALSE Superior 0 6629
6 55 F N 1 14 no-more-than 6 NA 8 blue green 4 0 2 0 3 1 5 1 2 FALSE Superior 0 3761
6 55 F N 1 15 exactly 4 NA 7 blue yellow 3 1 3 1 1 1 4 0 3 ? Superior 0 2613
6 55 F N 1 16 less-than 6 NA 4 blue yellow 4 0 1 0 3 0 3 1 -2 TRUE Inferior 100 3521
6 55 F N 1 17 exactly 6 NA 9 blue black 3 1 6 0 3 1 3 1 3 ? Superior 0 6836
6 55 F N 1 18 exactly 6 A 6 blue black 2 0 2 0 6 1 1 0 0 TRUE Equal 100 3850
6 55 F N 1 19 less-than 4 NA 4 red black 1 1 3 1 4 0 4 0 0 FALSE Equal 0 4301
6 55 F N 1 20 exactly 5 NA 5 red yellow 2 1 3 0 1 1 2 1 0 TRUE Equal 100 3156
6 55 F N 1 21 no-less-than 5 NA 5 blue green 2 1 1 0 6 0 3 1 0 TRUE Equal 100 18491
6 55 F N 1 22 no-more-than 4 NA 3 blue red 6 0 4 1 5 0 1 0 -1 TRUE Inferior 100 4411
6 55 F N 1 23 no-less-than 4 NA 5 green blue 2 1 3 1 1 0 4 0 1 TRUE Superior 100 15400
6 55 F N 1 24 exactly 4 A 4 red black 6 0 4 0 4 0 4 1 0 TRUE Equal 100 2453
6 55 F N 1 25 more-than 6 NA 5 green yellow 2 0 1 1 3 0 3 0 -1 FALSE Inferior 0 2933
6 55 F N 1 26 no-more-than 4 NA 1 green blue 2 0 5 0 6 1 4 0 -3 TRUE Inferior 0 4330
