Sujet Age Gender Blind Block Essai Structure Numeral Group Colored_dots Couleur_cible Couleur_filler Nombre_caseN Couleurcible_caseN Nombre_caseS Couleurcible_caseS Nombre_caseE Couleurcible_caseE Nombre_caseO Couleurcible_caseO Distance Expected_value Condition Response Response_time
14 47 M N 1 1 exactly 5 NA 6 blue green 2 0 2 1 4 1 2 0 1 ? Superior 80.9399477807 23886
14 47 M N 1 2 exactly 4 NA 4 blue green 6 0 5 0 2 1 2 1 0 TRUE Equal 99.4778067885 6841
14 47 M N 1 3 more-than 4 NA 6 blue yellow 1 1 4 0 3 1 2 1 2 TRUE Superior 1.30548302872 12398
14 47 M N 1 4 no-less-than 4 NA 4 red black 3 0 6 0 2 1 2 1 0 TRUE Equal 95.5613577023 8913
14 47 M N 1 5 exactly 6 A 8 blue green 2 1 6 1 6 0 5 0 2 ? Superior 100 5788
14 47 M N 1 6 more-than 4 NA 5 blue yellow 2 1 3 1 4 0 5 0 1 TRUE Superior 96.6057441253 7515
14 47 M N 1 7 less-than 6 NA 9 blue yellow 2 1 2 1 5 1 3 0 3 FALSE Superior 86.684073107 15206
14 47 M N 1 8 no-less-than 5 NA 8 red blue 6 0 4 1 4 1 1 0 3 TRUE Superior 5.74412532637 11716
14 47 M N 1 9 exactly 6 A 6 green red 6 1 2 0 5 0 1 0 0 TRUE Equal 100 3946
14 47 M N 1 10 no-less-than 6 NA 4 red black 6 0 6 0 3 1 5 0 -2 FALSE Inferior 0.783289817232 5968
14 47 M N 1 11 no-less-than 6 NA 5 blue yellow 3 0 3 0 6 0 4 1 -1 FALSE Inferior 0.522193211488 4101
14 47 M N 1 12 exactly 5 NA 8 red blue 6 1 6 0 2 1 5 0 3 ? Superior 100 4944
14 47 M N 1 13 less-than 5 NA 8 red blue 4 1 5 0 4 0 4 1 3 FALSE Superior 0 4534
14 47 M N 1 14 exactly 6 NA 3 blue black 4 1 5 0 3 0 1 0 -3 FALSE Inferior 1.30548302872 5005
14 47 M N 1 15 no-more-than 6 NA 4 blue red 2 0 2 0 1 1 2 0 -2 TRUE Inferior 0 5215
14 47 M N 1 16 more-than 5 NA 3 blue black 4 1 2 0 2 0 1 0 -2 FALSE Inferior 0.783289817232 4554
14 47 M N 1 17 no-more-than 5 NA 6 blue yellow 2 0 6 0 3 1 3 1 1 FALSE Superior 1.04438642298 9669
14 47 M N 1 18 less-than 4 NA 3 green red 2 0 2 0 4 1 5 0 -1 TRUE Inferior 95.0391644909 6288
14 47 M N 1 19 more-than 5 NA 8 blue black 6 0 3 1 1 1 4 1 3 TRUE Superior 1.04438642298 9276
14 47 M N 1 20 no-more-than 4 NA 7 red blue 1 1 3 1 3 1 2 0 3 FALSE Superior 1.56657963446 4642
14 47 M N 1 21 less-than 4 NA 4 green black 3 0 1 1 3 1 3 0 0 FALSE Equal 1.82767624021 8147
14 47 M N 1 22 no-less-than 4 NA 6 blue yellow 2 1 2 1 3 0 2 1 2 TRUE Superior 2.08877284595 5043
14 47 M N 1 23 less-than 5 NA 7 blue red 3 1 4 0 4 1 2 0 2 FALSE Superior 97.1279373368 11798
14 47 M N 1 24 exactly 6 NA 7 blue green 3 0 2 1 1 0 5 1 1 ? Superior 94.5169712794 4806
14 47 M N 1 25 no-less-than 5 NA 2 blue green 5 1 4 0 2 0 1 0 -3 FALSE Inferior 95.8224543081 5520
14 47 M N 1 26 more-than 4 NA 1 blue green 4 1 3 0 2 0 6 0 -3 FALSE Inferior 99.2167101828 4406
