Sujet Age Gender Blind Block Essai Structure Numeral Group Colored_dots Couleur_cible Couleur_filler Nombre_caseN Couleurcible_caseN Nombre_caseS Couleurcible_caseS Nombre_caseE Couleurcible_caseE Nombre_caseO Couleurcible_caseO Distance Expected_value Condition Response Response_time
4 40 M N 1 1 no-less-than 6 NA 4 red yellow 2 0 2 0 4 1 3 0 -2 FALSE Inferior 100 27147
4 40 M N 1 2 more-than 4 NA 3 blue red 6 0 6 0 5 0 3 1 -1 FALSE Inferior 100 11615
4 40 M N 1 3 exactly 4 A 5 red blue 1 1 6 0 4 1 5 0 1 ? Superior 100 6091
4 40 M N 1 4 more-than 6 NA 6 blue red 3 1 1 0 3 1 5 0 0 FALSE Equal 0 7276
4 40 M N 1 5 less-than 6 NA 6 green blue 1 1 1 1 1 0 4 1 0 FALSE Equal 53.5248041775 8744
4 40 M N 1 6 less-than 5 NA 5 green yellow 1 1 1 1 3 1 6 0 0 FALSE Equal 0 15668
4 40 M N 1 7 exactly 5 NA 8 red green 4 0 3 1 2 1 3 1 3 ? Superior 0 4840
4 40 M N 1 8 more-than 5 NA 7 green black 6 0 4 1 3 1 5 0 2 TRUE Superior 100 7924
4 40 M N 1 9 no-more-than 6 NA 8 blue black 5 0 3 1 5 1 4 0 2 FALSE Superior 100 10845
4 40 M N 1 10 more-than 4 NA 4 green yellow 1 0 1 1 2 0 3 1 0 FALSE Equal 0 6038
4 40 M N 1 11 exactly 6 A 7 green yellow 6 1 4 0 5 0 1 1 1 ? Superior 0 5965
4 40 M N 1 12 less-than 5 NA 4 blue green 3 0 1 0 6 1 5 0 -1 TRUE Inferior 52.7415143603 14299
4 40 M N 1 13 no-more-than 5 NA 4 green red 5 0 4 0 4 0 2 1 -1 TRUE Inferior 100 10504
4 40 M N 1 14 exactly 4 NA 4 green black 2 1 1 1 2 0 1 1 0 TRUE Equal 100 6411
4 40 M N 1 15 no-less-than 4 NA 7 green red 3 1 3 1 1 1 2 0 3 TRUE Superior 50.9138381201 10847
4 40 M N 1 16 no-more-than 5 NA 5 green blue 2 1 3 1 6 0 2 0 0 TRUE Equal 49.8694516971 8054
4 40 M N 1 17 exactly 6 NA 5 red yellow 3 0 2 0 2 0 6 1 -1 FALSE Inferior 100 4349
4 40 M N 1 18 no-less-than 5 NA 8 green blue 3 1 1 0 3 1 2 1 3 TRUE Superior 0 8774
4 40 M N 1 19 exactly 5 NA 3 red green 4 0 1 0 6 1 2 0 -2 FALSE Inferior 0 3550
4 40 M N 1 20 exactly 4 NA 2 red blue 5 0 3 0 1 1 6 0 -2 FALSE Inferior 0 2871
4 40 M N 1 21 no-less-than 4 NA 5 blue black 1 1 1 1 6 0 3 1 1 TRUE Superior 100 5634
4 40 M N 1 22 no-more-than 4 NA 7 red blue 2 1 2 1 3 1 6 0 3 FALSE Superior 0 11610
4 40 M N 1 23 no-more-than 4 NA 4 blue yellow 1 1 4 0 1 1 2 1 0 TRUE Equal 0 3914
4 40 M N 1 24 no-less-than 4 NA 2 red green 6 0 6 1 6 0 1 0 -2 FALSE Inferior 51.9582245431 15696
4 40 M N 1 25 no-more-than 5 NA 2 blue yellow 5 0 2 1 5 0 4 0 -3 TRUE Inferior 0 5508
4 40 M N 1 26 more-than 5 NA 4 blue red 5 0 2 0 5 0 2 1 -1 FALSE Inferior 0 8000
4 40 M N 1 27 no-more-than 5 NA 6 green red 4 1 3 0 1 1 1 1 1 FALSE Superior 100 7071
4 40 M N 1 28 exactly 6 A 8 red black 4 0 2 1 6 1 5 0 2 ? Superior 0 8353
4 40 M N 1 29 more-than 5 NA 3 green blue 3 0 4 1 6 0 3 0 -2 FALSE Inferior 100 9399
4 40 M N 1 30 exactly 5 A 5 red blue 6 0 1 0 3 0 5 1 0 TRUE Equal 100 7873
4 40 M N 1 31 less-than 4 NA 2 red black 2 0 4 0 2 1 3 0 -2 TRUE Inferior 0 5744
4 40 M N 1 32 less-than 6 NA 8 blue black 6 0 2 1 4 1 2 1 2 FALSE Superior 0 5080
